Feature,Importance
risk_score,0.1354885814735199
latitude,0.0829081753532015
longitude,0.08253744974820189
day,0.06853148403328042
temperature,0.06599507497934919
hour,0.062791528091504
casualties,0.05779820460253208
month,0.05398233958228635
traffic_density,0.053279214691971444
lanes,0.040831744188173286
day_of_week,0.03982718884254512
cause,0.03633606545762059
vehicles_involved,0.036091170175419206
year,0.028861355642905963
visibility,0.027658571538675136
road_type,0.024865005013158095
city,0.023920057239792337
weather,0.021949309027750084
state,0.021248902949375183
traffic_signal,0.013974673493603547
is_weekend,0.011084995345477742
is_peak_hour,0.010038908529656953
